Device,Kernel,M,N,K,Total Problem Size (KiB),sparsity,Iterations,Total Seconds,GFLOP/s
gpu_offloadAlways,sgemm,55,55,55,35.449,0.99000001,2,0.00147,0.455
gpu_unified,sgemm,55,55,55,35.449,0.99000001,2,0.00209,0.322
cpu,sgemm,56,56,56,36.750,0.99000001,2,0.00031,2.251
gpu_offloadOnce,sgemm,56,56,56,36.750,0.99000001,2,0.00179,0.396
gpu_offloadAlways,sgemm,56,56,56,36.750,0.99000001,2,0.00150,0.472
gpu_unified,sgemm,56,56,56,36.750,0.99000001,2,0.00200,0.354
cpu,sgemm,57,57,57,38.074,0.99000001,2,0.00032,2.306
gpu_offloadOnce,sgemm,57,57,57,38.074,0.99000001,2,0.00153,0.489
gpu_offloadAlways,sgemm,57,57,57,38.074,0.99000001,2,0.00189,0.395
gpu_unified,sgemm,57,57,57,38.074,0.99000001,2,0.00211,0.354
cpu,sgemm,58,58,58,39.422,0.99000001,2,0.00033,2.406
gpu_offloadOnce,sgemm,58,58,58,39.422,0.99000001,2,0.00154,0.510
gpu_offloadAlways,sgemm,58,58,58,39.422,0.99000001,2,0.00201,0.392
gpu_unified,sgemm,58,58,58,39.422,0.99000001,2,0.00220,0.358
cpu,sgemm,59,59,59,40.793,0.99000001,2,0.04015,0.021
gpu_offloadOnce,sgemm,59,59,59,40.793,0.99000001,2,0.00210,0.395
gpu_offloadAlways,sgemm,59,59,59,40.793,0.99000001,2,0.00215,0.385
gpu_unified,sgemm,59,59,59,40.793,0.99000001,2,0.00277,0.299
cpu,sgemm,60,60,60,42.188,0.99000001,2,0.00045,1.928
gpu_offloadOnce,sgemm,60,60,60,42.188,0.99000001,2,0.00189,0.460
gpu_offloadAlways,sgemm,60,60,60,42.188,0.99000001,2,0.00209,0.416
gpu_unified,sgemm,60,60,60,42.188,0.99000001,2,0.00266,0.328
cpu,sgemm,61,61,61,43.605,0.99000001,2,0.00045,2.017
gpu_offloadOnce,sgemm,61,61,61,43.605,0.99000001,2,0.00197,0.465
gpu_offloadAlways,sgemm,61,61,61,43.605,0.99000001,2,0.00215,0.426
gpu_unified,sgemm,61,61,61,43.605,0.99000001,2,0.00266,0.344
cpu,sgemm,62,62,62,45.047,0.99000001,2,0.05015,0.019
gpu_offloadOnce,sgemm,62,62,62,45.047,0.99000001,2,0.00258,0.373
gpu_offloadAlways,sgemm,62,62,62,45.047,0.99000001,2,0.00287,0.335
gpu_unified,sgemm,62,62,62,45.047,0.99000001,2,0.00314,0.306
cpu,sgemm,63,63,63,46.512,0.99000001,2,0.00058,1.726
gpu_offloadOnce,sgemm,63,63,63,46.512,0.99000001,2,0.00259,0.389
gpu_offloadAlways,sgemm,63,63,63,46.512,0.99000001,2,0.00262,0.384
gpu_unified,sgemm,63,63,63,46.512,0.99000001,2,0.00318,0.317
cpu,sgemm,64,64,64,48.000,0.99000001,2,0.00059,1.798
gpu_offloadOnce,sgemm,64,64,64,48.000,0.99000001,2,0.30288,0.003
gpu_offloadAlways,sgemm,64,64,64,48.000,0.99000001,2,0.00025,4.249
gpu_unified,sgemm,64,64,64,48.000,0.99000001,2,0.13943,0.008
cpu,sgemm,65,65,65,49.512,0.99000001,2,0.06025,0.018
gpu_offloadOnce,sgemm,65,65,65,49.512,0.99000001,2,0.00259,0.428
gpu_offloadAlways,sgemm,65,65,65,49.512,0.99000001,2,0.00246,0.450
gpu_unified,sgemm,65,65,65,49.512,0.99000001,2,0.00302,0.366
cpu,sgemm,66,66,66,51.047,0.99000001,2,0.06017,0.019
gpu_offloadOnce,sgemm,66,66,66,51.047,0.99000001,2,0.00286,0.404
gpu_offloadAlways,sgemm,66,66,66,51.047,0.99000001,2,0.00290,0.400
gpu_unified,sgemm,66,66,66,51.047,0.99000001,2,0.00354,0.327
cpu,sgemm,67,67,67,52.605,0.99000001,2,0.00076,1.592
gpu_offloadOnce,sgemm,67,67,67,52.605,0.99000001,2,0.00263,0.462
gpu_offloadAlways,sgemm,67,67,67,52.605,0.99000001,2,0.00289,0.420
gpu_unified,sgemm,67,67,67,52.605,0.99000001,2,0.00347,0.349
cpu,sgemm,68,68,68,54.188,0.99000001,2,0.00076,1.660
gpu_offloadOnce,sgemm,68,68,68,54.188,0.99000001,2,0.00263,0.481
gpu_offloadAlways,sgemm,68,68,68,54.188,0.99000001,2,0.00314,0.404
gpu_unified,sgemm,68,68,68,54.188,0.99000001,2,0.00347,0.365
cpu,sgemm,69,69,69,55.793,0.99000001,2,0.07021,0.019
gpu_offloadOnce,sgemm,69,69,69,55.793,0.99000001,2,0.00320,0.414
gpu_offloadAlways,sgemm,69,69,69,55.793,0.99000001,2,0.00343,0.386
gpu_unified,sgemm,69,69,69,55.793,0.99000001,2,0.00404,0.327
cpu,sgemm,70,70,70,57.422,0.99000001,2,0.00092,1.502
gpu_offloadOnce,sgemm,70,70,70,57.422,0.99000001,2,0.00290,0.477
gpu_offloadAlways,sgemm,70,70,70,57.422,0.99000001,2,0.00338,0.409
gpu_unified,sgemm,70,70,70,57.422,0.99000001,2,0.00398,0.347
cpu,sgemm,71,71,71,59.074,0.99000001,2,0.08037,0.018
gpu_offloadOnce,sgemm,71,71,71,59.074,0.99000001,2,0.00375,0.385
gpu_offloadAlways,sgemm,71,71,71,59.074,0.99000001,2,0.00394,0.366
gpu_unified,sgemm,71,71,71,59.074,0.99000001,2,0.00459,0.314
cpu,sgemm,72,72,72,60.750,0.99000001,2,0.00110,1.361
gpu_offloadOnce,sgemm,72,72,72,60.750,0.99000001,2,0.00355,0.424
gpu_offloadAlways,sgemm,72,72,72,60.750,0.99000001,2,0.00389,0.387
gpu_unified,sgemm,72,72,72,60.750,0.99000001,2,0.00456,0.330
cpu,sgemm,73,73,73,62.449,0.99000001,2,0.00110,1.430
gpu_offloadOnce,sgemm,73,73,73,62.449,0.99000001,2,0.00388,0.404
gpu_offloadAlways,sgemm,73,73,73,62.449,0.99000001,2,0.00429,0.365
gpu_unified,sgemm,73,73,73,62.449,0.99000001,2,0.00477,0.328
cpu,sgemm,74,74,74,64.172,0.99000001,2,0.09028,0.018
gpu_offloadOnce,sgemm,74,74,74,64.172,0.99000001,2,0.00467,0.350
gpu_offloadAlways,sgemm,74,74,74,64.172,0.99000001,2,0.00492,0.332
gpu_unified,sgemm,74,74,74,64.172,0.99000001,2,0.00557,0.293
cpu,sgemm,75,75,75,65.918,0.99000001,2,0.00127,1.333
gpu_offloadOnce,sgemm,75,75,75,65.918,0.99000001,2,0.00455,0.373
gpu_offloadAlways,sgemm,75,75,75,65.918,0.99000001,2,0.00497,0.342
gpu_unified,sgemm,75,75,75,65.918,0.99000001,2,0.00545,0.312
cpu,sgemm,76,76,76,67.688,0.99000001,2,0.10030,0.018
gpu_offloadOnce,sgemm,76,76,76,67.688,0.99000001,2,0.00534,0.331
gpu_offloadAlways,sgemm,76,76,76,67.688,0.99000001,2,0.00550,0.321
gpu_unified,sgemm,76,76,76,67.688,0.99000001,2,0.00601,0.294
cpu,sgemm,77,77,77,69.480,0.99000001,2,0.00146,1.260
gpu_offloadOnce,sgemm,77,77,77,69.480,0.99000001,2,0.00507,0.363
gpu_offloadAlways,sgemm,77,77,77,69.480,0.99000001,2,0.00565,0.325
gpu_unified,sgemm,77,77,77,69.480,0.99000001,2,0.00611,0.301
cpu,sgemm,78,78,78,71.297,0.99000001,2,0.00149,1.280
gpu_offloadOnce,sgemm,78,78,78,71.297,0.99000001,2,0.00530,0.360
gpu_offloadAlways,sgemm,78,78,78,71.297,0.99000001,2,0.00546,0.350
gpu_unified,sgemm,78,78,78,71.297,0.99000001,2,0.00693,0.276
cpu,sgemm,79,79,79,73.137,0.99000001,2,0.11051,0.018
gpu_offloadOnce,sgemm,79,79,79,73.137,0.99000001,2,0.00791,0.251
gpu_offloadAlways,sgemm,79,79,79,73.137,0.99000001,2,0.00629,0.316
gpu_unified,sgemm,79,79,79,73.137,0.99000001,2,0.00680,0.292
cpu,sgemm,80,80,80,75.000,0.99000001,2,0.12035,0.017
